Event name,Customer ID,Screen,Time,Event ID,Device Info,OS,App Version
Click,7050407889,App Launch,2024-03-15 00:18:29,cf129ba0-ebaa-48e4-abd4-b750eaf36246,Galaxy M series,Android,['7.0.60']
Click,7050407889,nonjio_no,2024-03-15 00:18:39,50671188-4c73-4aa8-aea0-95931bc4ce85,Galaxy M series,Android,['7.0.60']
Swipe back,7050407889,Home,2024-03-15 00:18:49,5e249a24-6912-488b-9549-0043c4b5c734,Galaxy M series,Android,['7.0.60']
Swipe,7050407889,App Kill,2024-03-15 00:18:59,f56249c7-2e5f-42b2-8976-b3afdf727a2d,Galaxy M series,Android,['7.0.60']
Click,7854833328,App Launch,2024-03-15 00:22:45,c5a270c1-307b-4ea0-a2a5-fa3c54f196ee,Galaxy S7,Android,['7.0.25']
Click,7854833328,UPI,2024-03-15 00:22:55,67ab9279-0c86-42e9-bea7-76638370175a,Galaxy S7,Android,['7.0.25']
Scroll,7854833328,UPI,2024-03-15 00:23:05,31361d25-c15a-46e5-9620-0d89bfe7f9b5,Galaxy S7,Android,['7.0.25']
Swipe back,7854833328,Home,2024-03-15 00:23:25,a43350a7-7cde-4f5d-bcb5-ab510d3129ac,Galaxy S7,Android,['7.0.25']
Swipe,7854833328,App Kill,2024-03-15 00:23:35,8baee030-aba4-4187-a681-58c6d4af527b,Galaxy S7,Android,['7.0.25']
Click,7700462609,App Launch,2024-03-15 00:29:42,3c1bd301-b789-443b-ab8a-f57029c2870d,Pixel 4a,Android,['7.0.47']
Click,7700462609,bookfiber,2024-03-15 00:29:52,6d2151e9-b7bb-4165-87c9-dfb317f31e54,Pixel 4a,Android,['7.0.47']
Swipe back,7700462609,Home,2024-03-15 00:30:02,1f8049b9-4485-49ae-8637-024b9eb01660,Pixel 4a,Android,['7.0.47']
Swipe,7700462609,App Kill,2024-03-15 00:30:12,b729c88e-81ed-41ca-8ff3-1380ba4dd46a,Pixel 4a,Android,['7.0.47']
Click,7672248980,App Launch,2024-03-15 00:36:07,fbadaf6e-5379-47a3-8814-7e99c1d0a04b,Lenovo Z series,Android,['7.0.47']
Click,7672248980,Banner7,2024-03-15 00:36:17,0c2df2ad-5a58-4aab-ad53-d9df2e729f46,Lenovo Z series,Android,['7.0.47']
Scroll,7672248980,Banner7,2024-03-15 00:36:27,066570ff-23ce-4e6c-8f0c-3cedf222c70e,Lenovo Z series,Android,['7.0.47']
Swipe back,7672248980,Home,2024-03-15 00:36:47,7a77bda5-e8ea-4c92-b4dd-c322bb41c93f,Lenovo Z series,Android,['7.0.47']
Swipe,7672248980,App Kill,2024-03-15 00:36:57,48ae5b42-b50f-43f4-ac6b-2d98debb67d9,Lenovo Z series,Android,['7.0.47']
Click,8369899039,App Launch,2024-03-15 00:36:52,494a5f67-5060-4053-9685-ce3de488bff1,LG V series ,Android,['7.0.57']
Click,8369899039,getpostpaid,2024-03-15 00:37:02,def2d59f-eef0-482d-a7cf-cccd32dee74f,LG V series ,Android,['7.0.57']
Click,8369899039,Port to Postpaid,2024-03-15 00:37:12,07b67e39-2e05-4110-beba-ee068b31dbbc,LG V series ,Android,['7.0.57']
Input,8369899039,number,2024-03-15 00:37:32,4c2429ed-9c19-43dd-b187-5311025ff8a8,LG V series ,Android,['7.0.57']
Input,8369899039,name,2024-03-15 00:38:02,759f00dd-3618-4937-9d6e-f8664d0c9208,LG V series ,Android,['7.0.57']
Click,8369899039,Port,2024-03-15 00:38:32,b31c27b4-f494-43fd-b70c-54aac24569c3,LG V series ,Android,['7.0.57']
Swipe back,8369899039,Home,2024-03-15 00:39:02,18c235ac-e944-4acf-895c-3149b4b2543c,LG V series ,Android,['7.0.57']
Swipe,8369899039,App Kill,2024-03-15 00:39:12,cf9b882f-d796-4b35-b451-8568dd91311d,LG V series ,Android,['7.0.57']
Click,9623901937,App Launch,2024-03-15 00:37:40,380c784c-e9db-4e4c-a762-62c321b624f7,Moto Z series,Android,['7.0.60']
Click,9623901937,Banner6,2024-03-15 00:37:50,de767752-8706-4368-a7e0-99179cdacfc4,Moto Z series,Android,['7.0.60']
Scroll,9623901937,Banner6,2024-03-15 00:38:00,e6ae558c-d952-4587-84b4-19cc475d11a2,Moto Z series,Android,['7.0.60']
Swipe back,9623901937,Home,2024-03-15 00:38:20,f7272ca9-eaec-4f00-9268-6951908a76b3,Moto Z series,Android,['7.0.60']
Swipe,9623901937,App Kill,2024-03-15 00:38:30,bb904968-cc1f-4315-b8a5-a117ac1c6eff,Moto Z series,Android,['7.0.60']
Click,8215675206,App Launch,2024-03-15 00:44:40,7a302e6d-b5bb-44f5-9291-4823c026443b,OnePlus 2,Android,['7.0.60']
Click,8215675206,Banner6,2024-03-15 00:44:50,0bd27931-a08c-4f66-b6a1-175ea4e4fd8a,OnePlus 2,Android,['7.0.60']
Scroll,8215675206,Banner6,2024-03-15 00:45:00,8b8c5470-2c61-4afd-8368-9eeece7d6739,OnePlus 2,Android,['7.0.60']
